(node:3736) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/Users/Administrator/Desktop/Nueva%20carpeta/-CODIGOS%20WEBS-/028import%20-%20Oficial/028-import-oficial/src/lib/firebaseAdmin.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\Users\Administrator\Desktop\Nueva carpeta\-CODIGOS WEBS-\028import - Oficial\028-import-oficial\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
179 imágenes distintas para revisar.

[122/179] OK  1458KB -> 403KB  MIAMI MINT
[123/179] OK  1519KB -> 410KB  MEXICO MANGO
[124/179] OK  1184KB -> 287KB  ELECTRIC FRUIT BLAST
[125/179] OK  1455KB -> 405KB   PINEAPPLE
[126/179] OK  1554KB -> 434KB  SIC STRAWBERRY
[127/179] OK  1477KB -> 456KB  GRAPE PASSION
[128/179] OK  1392KB -> 372KB   TRIPLE BERRY
[129/179] OK  1014KB -> 333KB  TORCH 3.5G
[130/179] OK  1124KB -> 318KB  TORCH 5G
[131/179] OK  2267KB -> 442KB  CÁPSULAS COOKIES 
[132/179] OK  2375KB -> 424KB  BATERIA PEN - ELFTHC
[133/179] OK  2524KB -> 384KB  JEETER
[134/179] OK  2501KB -> 440KB  BIG CHIEF
[135/179] OK  336KB -> 108KB  EARPODS
[136/179] OK  2143KB -> 219KB  BLUEBERRY ICE
[137/179] OK  2140KB -> 274KB  COMBO | JEETER + PEN TORUS
[138/179] OK  2384KB -> 426KB  COMBO | CAPSULA JEETER + PEN ELFTHC
[139/179] OK  2205KB -> 316KB  COMBO | CAPSULA 028 + PEN ELFTHC
[140/179] OK  2168KB -> 304KB  COMBO | CAPSULA 028 + PEN TORUS
[141/179] OK  1937KB -> 417KB  GREEN APPLE ICE
[142/179] OK  2540KB -> 321KB  CRANBERRY PINNEAPLE JUICE
[143/179] OK  2369KB -> 262KB  BUBBALO TUTTI FRUTI
[144/179] OK  2933KB -> 309KB  MELÓN GRAPE MENTHOL
[145/179] OK  1111KB -> 318KB  CALIFORNIA CHERRY
[146/179] OK  1342KB -> 347KB  BERRY CANDY
[147/179] OK  1292KB -> 333KB  CHERRY STRAZZ
[148/179] OK  1002KB -> 317KB  FAB BLACKBERRY 
[149/179] OK  1175KB -> 364KB  GRAPE BUBBLEGUM
[150/179] OK  1164KB -> 341KB  MIAMI MINT 
[151/179] OK  1130KB -> 306KB  SOUR APPLE B POP
[152/179] OK  1309KB -> 342KB  STRAWBERRY B POP 
[153/179] OK  2640KB -> 444KB  BLOW REAL HONEY
[154/179] ya está liviana (75KB)  BLUE RAZZ ICE
[155/179] ya está liviana (30KB)  CARGADOR 20W
[156/179] ya está liviana (26KB)  CARGADOR 35W
[157/179] ya está liviana (40KB)  CABLE USB-C A USB-C
[158/179] ya está liviana (20KB)  CABLE USB-C A LIGHTNING
[159/179] ya está liviana (96KB)  SOUR APPLE ICE
[160/179] OK  132KB -> 66KB  MIAMI MINT
[161/179] ya está liviana (64KB)  PLAYSTATION 5
